total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""symbolic"" AND ""AI""",vinta/awesome-python,https://github.com/vinta/awesome-python,2014-06-27T21:00:06+00:00,2025-06-02T13:43:17+00:00,2024-08-11T17:10:18+00:00,Python,245254,25738,245254,482,False,"['awesome', 'python', 'collections', 'python-library', 'python-framework', 'python-resources']","An opinionated list of awesome Python frameworks, libraries, software and resources."
1,"""symbolic"" AND ""AI""",codeengn/codeengn-conference,https://github.com/codeengn/codeengn-conference,2015-05-07T00:10:05+00:00,2025-05-29T13:47:39+00:00,2024-09-10T07:38:10+00:00,Python,98,23,98,0,False,"['conference-presentations', 'presentation-slides', 'presentations', 'conference-paper']",All Presentations at CodeEngn Conference
2,"""symbolic"" AND ""AI""",abewley/sort,https://github.com/abewley/sort,2016-02-03T03:16:23+00:00,2025-05-31T01:42:33+00:00,2023-11-28T07:01:46+00:00,Python,4178,1121,4178,109,False,[],"Simple, online, and realtime tracking of multiple objects in a video sequence."
3,"""symbolic"" AND ""AI""",mike-bowles/hdDeepLearningStudy,https://github.com/mike-bowles/hdDeepLearningStudy,2016-03-15T04:29:02+00:00,2025-05-27T16:02:31+00:00,2023-11-15T04:55:11+00:00,Python,291,93,291,4,False,[],Code etc for Hacker Dojo Deep Learning Study Group
4,"""symbolic"" AND ""AI""",gooofy/zamia-speech,https://github.com/gooofy/zamia-speech,2017-01-30T20:42:45+00:00,2025-05-18T01:31:54+00:00,2021-03-30T05:25:41+00:00,Python,446,84,446,32,False,"['kaldi', 'speech-corpora', 'voxforge', 'sequitur', 'lexicon', 'cmu-sphinx', 'language-model', 'asr', 'speech-recognition']",Open tools and data for cloudless automatic speech recognition
5,"""symbolic"" AND ""AI""",hunkim/DeepLearningStars,https://github.com/hunkim/DeepLearningStars,2017-01-27T15:52:33+00:00,2025-05-30T05:35:24+00:00,2024-02-17T01:49:45+00:00,Python,428,110,428,3,False,[],Top Deep Learning Projects based on their Stars!
6,"""symbolic"" AND ""AI""",ColinShaw/machine-learning-resources,https://github.com/ColinShaw/machine-learning-resources,2017-02-09T02:35:18+00:00,2025-05-10T21:03:01+00:00,2020-07-30T19:50:34+00:00,Python,64,17,64,0,False,"['machine-learning', 'books', 'articles', 'links']",List of books and other resources that are related to deep learning
7,"""symbolic"" AND ""AI""",hindupuravinash/the-gan-zoo,https://github.com/hindupuravinash/the-gan-zoo,2017-04-14T16:45:24+00:00,2025-06-01T12:47:37+00:00,2023-10-06T18:30:38+00:00,Python,14547,2574,14547,38,False,"['machine-learning', 'gan', 'generative-adversarial-network']",A list of all named GANs!
8,"""symbolic"" AND ""AI""",databricks/databricks-ml-examples,https://github.com/databricks/databricks-ml-examples,2017-05-30T22:57:50+00:00,2025-05-06T18:30:17+00:00,2024-03-28T23:50:34+00:00,Python,352,123,352,9,False,[],
9,"""symbolic"" AND ""AI""",gcunhase/PaperNotes,https://github.com/gcunhase/PaperNotes,2017-07-11T11:59:52+00:00,2024-12-18T02:04:00+00:00,2021-03-01T13:20:56+00:00,Python,22,7,22,0,False,[],Important notes on scientific papers
10,"""symbolic"" AND ""AI""",salu133445/musegan,https://github.com/salu133445/musegan,2017-09-13T03:52:31+00:00,2025-06-02T11:22:49+00:00,2024-06-07T10:22:36+00:00,Python,1938,386,1938,21,False,"['music', 'music-generation', 'machine-learning', 'tensorflow', 'generative-adversarial-network', 'gan']",An AI for Music Generation
11,"""symbolic"" AND ""AI""",logangraham/arXausality,https://github.com/logangraham/arXausality,2017-11-27T17:17:48+00:00,2025-02-06T13:59:58+00:00,2020-09-10T14:09:20+00:00,Python,416,51,416,0,False,[],A every-so-often-updated collection of every causality + machine learning paper submitted to arXiv in the recent past.
